y_U1,y_U2,y_U3,y_U4,y_U5,y_U6,y_U7,y_U8,y_L1,y_L2,y_L3,y_L4,y_L5,y_L6,y_L7,y_L8,alpha,Mach,Cl,Cm
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,3,0.8,0.411001,0.046449
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,3.5,0.8,0.463472,0.043509
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,4,0.8,0.512666,0.039419
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,4.5,0.8,0.556497,0.036112
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,5,0.8,0.596767,0.033164
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,5.5,0.8,0.63373,0.030741
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,6,0.8,0.667805,0.029071
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,6.5,0.8,0.699416,0.027981
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,7,0.8,0.728828,0.027714
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,7.5,0.8,0.756032,0.028185
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,8,0.8,0.78164,0.029148
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,8.5,0.8,0.803489,0.032127
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,9,0.8,0.824506,0.035121
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,9.5,0.8,0.844289,0.038558
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,10,0.8,0.863135,0.042387
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,10.5,0.8,0.881041,0.046446
